aar=aa   # Afar
abk=ab   # Abkhazian
afr=af   # Afrikaans
aka=ak   # Akan
amh=am   # Amharic
ara=ar   # Arabic
arg=an   # Aragonese
arm=hy   # Armenian, legacy
asm=as   # Assamese
ava=av   # Avaric
ave=ae   # Avestan
aym=ay   # Aymara
aze=az   # Azerbaijani
bak=ba   # Bashkir
bam=bm   # Bambara
bel=be   # Belarusian
ben=bn   # Bengali
bih=bh   # Bihari
bis=bi   # Bislama
bos=bs   # Bosnian
bra=pt   # fallback for Brazilian -> Portugese
bre=br   # Breton
bul=bg   # Bulgarian
cat=ca   # Catalan
ces=cs   # Czech
cze=cs   # Czech, legacy
cha=ch   # Chamorro
che=ce   # Chechen
chu=cu   # Church Slavic / Old Slavonic
chv=cv   # Chuvash
cor=kw   # Cornish
cos=co   # Corsican
cre=cr   # Cree
cym=cy   # Welsh
wel=cy   # Welsh, legacy
dan=da   # Danish
den=da   # Danish, legacy
deu=de   # German
ger=de   # German, legacy
div=dv   # Divehi
dzo=dz   # Dzongkha
ell=el   # Greek
gre=el   # Greek, legacy
eng=en   # English
epo=eo   # Esperanto
est=et   # Estonian
ewe=ee   # Ewe
fao=fo   # Faroese
fas=fa   # Persian
per=fa   # Persian, legacy
fij=fj   # Fijian
fil=tl   # Filipino / Tagalog, alternative
fin=fi   # Finnish
fra=fr   # French
fre=fr   # French, legacy
fry=fy   # Western Frisian
ful=ff   # Fulah
gaa=ga   # Ghana
gle=ga   # Irish
gla=gd   # Scottish Gaelic
glg=gl   # Galician
glv=gv   # Manx
grn=gn   # Guarani
guj=gu   # Gujarati
hat=ht   # Haitian
hau=ha   # Hausa
heb=he   # Hebrew
her=hz   # Herero
hin=hi   # Hindi
hmo=ho   # Hiri Motu
hrv=hr   # Croatian
hun=hu   # Hungarian
ibo=ig   # Igbo
ice=is   # Icelandic, legacy
isl=is   # Icelandic, legacy
ido=io   # Ido
iii=ii   # Sichuan Yi
iku=iu   # Inuktitut
ile=ie   # Interlingue
ina=ia   # Interlingua
ind=id   # Indonesian
ipk=ik   # Inupiaq
ita=it   # Italian
jav=jv   # Javanese
jpn=ja   # Japanese
kal=kl   # Kalaallisut
kan=kn   # Kannada
kas=ks   # Kashmiri
kau=kr   # Kanuri
kaz=kk   # Kazakh
khm=km   # Central Khmer
kik=ki   # Kikuyu
kin=rw   # Kinyarwanda
kir=ky   # Kirghiz
kom=kv   # Komi
kon=kg   # Kongo
kor=ko   # Korean
kua=kj   # Kuanyama
kur=ku   # Kurdish
lao=lo   # Lao
lat=la   # Latin
lav=lv   # Latvian
lim=li   # Limburgish
lin=ln   # Lingala
lit=lt   # Lithuanian
ltz=lb   # Luxembourgish
lub=lu   # Luba-Katanga
lug=lg   # Ganda
mkd=mk   # Macedonian
mah=mh   # Marshallese
mal=ml   # Malayalam, legacy
may=ms   # Malay   
mlg=mg   # Malagasy
mlt=mt   # Maltese
mon=mn   # Mongolian
nau=na   # Nauru
nav=nv   # Navajo
nbl=nr   # Ndebele, South
nde=nd   # Ndebele, North
ndo=ng   # Ndonga
nep=ne   # Nepali
nno=nn   # Norwegian Nynorsk
nob=nb   # Norwegian Bokmål
nor=no   # Norwegian
nya=ny   # Chichewa
oci=oc   # Occitan
oji=oj   # Ojibwa
ori=or   # Oriya
orm=om   # Oromo
oss=os   # Ossetian
pan=pa   # Panjabi
pli=pi   # Pali
pol=pl   # Polish
por=pt   # Portuguese
pus=ps   # Pushto
que=qu   # Quechua
roh=rm   # Romansh
ron=ro   # Romanian
rum=ro   # Romanian, legacy
run=rn   # Rundi
rus=ru   # Russian
sag=sg   # Sango
san=sa   # Sanskrit
sin=si   # Sinhala
slk=sk   # Slovak
slo=sk   # Slovak, legacy
slv=sl   # Slovenian
sme=se   # Northern Sami
smo=sm   # Samoan
sna=sn   # Shona
snd=sd   # Sindhi
som=so   # Somali
sot=st   # Southern Sotho
spa=es   # Spanish
srd=sc   # Sardinian
srp=sr   # Serbian
ssw=ss   # Swati
sun=su   # Sundanese
swa=sw   # Swahili
swe=sv   # Swedish
tah=ty   # Tahitian
tam=ta   # Tamil
tat=tt   # Tatar
tel=te   # Telugu
tgk=tg   # Tajik
tgl=tl   # Tagalog
tha=th   # Thai
tir=ti   # Tigrinya
ton=to   # Tonga (Tonga Islands)
tsn=tn   # Tswana
tso=ts   # Tsonga
tuk=tk   # Turkmen
tur=tr   # Turkish
twi=tw   # Twi
uig=ug   # Uighur
ukr=uk   # Ukrainian
und=und # Undefined / fallback
urd=ur   # Urdu
uzb=uz   # Uzbek
ven=ve   # Venda
vie=vi   # Vietnamese
vol=vo   # Volapük
wln=wa   # Walloon
wol=wo   # Wolof
xho=xh   # Xhosa
yid=yi   # Yiddish
yor=yo   # Yoruba
zha=za   # Zhuang
zho=zh   # Chinese, legacy
zul=zu   # Zulu
phi=tl   # Philippine languages, legacy
baq=eu   # Basque, legacy
chi=zh   # Chinese, legacy
dut=nl   # Dutch, legacy
